category,text,option1,option2,option3,option4,correct_index
history,Столица Франции?,Париж,Берлин,Рим,Мадрид,0
history,Кто был первым президентом США?,Вашингтон,Линкольн,Рузвельт,Кеннеди,0
history,В каком году началась Вторая мировая война?,1914,1939,1945,1961,1
history,В какой стране начался Ренессанс?,Франция,Германия,Италия,Англия,2
history,Кто был королевой Англии во время разгрома Непобедимой армады?,Виктория,Елизавета I,Мария Стюарт,Анна Болейн,1
history,Какой древнеримский полководец был убит заговорщиками в сенате?,Цезарь,Ганнибал,Александр,Октавиан,0
history,Кто написал "Декларацию независимости" США?,Вашингтон,Джефферсон,Линкольн,Франклин,1
history,Как звали первого человека в космосе?,Гагарин,Армстронг,Титов,Леонов,0
history,В каком году пала Берлинская стена?,1987,1989,1991,1975,1
science,H2O это...,Водород,Кислород,Вода,Кислота,2
science,Что вращается вокруг Земли?,Солнце,Марс,Луна,Венера,2
science,Сколько планет в Солнечной системе?,7,8,9,10,1
science,Кто разработал теорию относительности?,Ньютон,Эйнштейн,Тесла,Галилей,1
science,Какая частица имеет отрицательный заряд?,Протон,Нейтрон,Электрон,Позитрон,2
science,Какой газ растения поглощают из атмосферы?,Кислород,Азот,Углекислый газ,Водород,2
science,Какая планета известна своими кольцами?,Юпитер,Сатурн,Уран,Нептун,1
science,Что измеряет барометр?,Влажность,Температуру,Атмосферное давление,Силу ветра,2
science,Как называется самая большая кость в человеческом теле?,Лучевая,Бедренная,Большеберцовая,Локтевая,1
culture,Автор "Война и мир"?,Пушкин,Толстой,Достоевский,Чехов,1
culture,Кто написал "Гамлета"?,Шекспир,Гете,Толстой,Диккенс,0
culture,Какой художник написал "Мону Лизу"?,Пикассо,Дали,Да Винчи,Рембрандт,2
culture,На каком инструменте играл Моцарт?,Гитара,Флейта,Скрипка,Фортепиано,3
culture,В какой стране зародился стиль музыки "фламенко"?,Италия,Португалия,Испания,Греция,2
culture,Кто автор балета "Лебединое озеро"?,Чайковский,Шопен,Моцарт,Бах,0
culture,Кто написал роман "1984"?,Оруэлл,Хаксли,Брэдбери,Толкин,0
culture,В каком музее хранится "Рождение Венеры" Боттичелли?,Лувр,Уффици,Прадо,Эрмитаж,1
sport,Сколько игроков у футбольной команды на поле?,9,10,11,12,2
sport,Где проходят Олимпийские игры 2004 года?,Афины,Пекин,Сидней,Лондон,0
sport,В каком виде спорта используется клюшка?,Хоккей,Баскетбол,Футбол,Теннис,0
sport,Какой спорт связан с Уимблдоном?,Баскетбол,Футбол,Теннис,Гольф,2
sport,Сколько таймов в матче регби?,1,2,3,4,1
sport,Какая страна выиграла ЧМ по футболу в 2018 году?,Бразилия,Германия,Франция,Хорватия,2
sport,Сколько очков за забитый штрафной бросок в баскетболе?,1,2,3,4,0
sport,В какой игре используется клюшка и шайба?,Хоккей,Баскетбол,Футбол,Теннис,0
geography,Самая длинная река в мире?,Нил,Амазонка,Миссисипи,Янцзы,1
geography,Столица Австралии?,Сидней,Мельбурн,Канберра,Перт,2
geography,Какая страна имеет форму сапога?,Греция,Италия,Франция,Испания,1
geography,Самая большая пустыня в мире?,Гоби,Сахара,Антарктическая,Калахари,2
geography,На каком материке находится Уганда?,Африка,Азия,Южная Америка,Европа,0